SEG,BU,Platform,Product Category,Product Line,Product Set ,Set ID, Act Rev , Act Units ,COMMENTS,"Exemplar Product 
(Use)"
INT,SUR,Infection Prevention - Surgical,Other IP,Other,Other (OEM tinting soln.),PH230200041719," $928,915 "," 171,817,666 ",,ChloraPrep
INT,SUR,Infection Prevention - Surgical,Hand Hygiene,Scrubs,Scrub Brushes,PH230200041709," $39,108,105 "," 71,008,033 ",,Plastipak
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Sterile Solution,26 ml,PH230200041733," $214,751,962 "," 34,971,740 ",,ChloraPrep
INT,UCC,Total Acute Urology,PureWick Acute Care,PureWick Disposibles,Purewick Disposibles,PH240152141203," $225,256,293 "," 32,987,582 ",,Hypak for Antico
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Sterile Solution,10.5 ml,PH230200041732," $84,637,415 "," 25,605,166 ",,ChloraPrep
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether- Straight,PH240153141002," $32,018,947 "," 21,150,234 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (US),Hollister,PH240153141033," $11,042,718 "," 16,021,740 ",,Purewick catheter
INT,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,PH230200041701," $29,529,182 "," 14,292,320 ",,Safety LOK (Safety Wingset)
INT,UCC,Total Home Care Sales,Urology Home Care,Home Care Non Bard,UK DAC Sales (Non Bard),PH240153141054," $30,072,187 "," 10,412,510 ",,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,Statlock - Foley,Statlock - Foley,PH240152141218," $29,374,147 "," 10,348,456 ",,Hypak for Antico
INT,UCC,Total Acute Urology,Urological Drainage,Bardia Strips,Catheters,PH240153141007," $8,994,461 "," 8,411,216 ",,Purewick catheter
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (US),Coloplast,PH240153141032," $5,098,680 "," 7,833,900 ",,Purewick catheter
