SEG,BU,Platform,Product Category,Product Line,Product Set ,Set ID,"Exemplar Product 
(Use)",,,
INT,SUR,Infection Prevention - Surgical,Other IP,Other,Other (OEM tinting soln.),PH230200041719,ChloraPrep,,,
INT,SUR,Infection Prevention - Surgical,Hand Hygiene,Scrubs,Scrub Brushes,PH230200041709,Plastipak,,,
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Sterile Solution,26 ml,PH230200041733,ChloraPrep,,,
INT,UCC,Total Acute Urology,PureWick Acute Care,PureWick Disposibles,Purewick Disposibles,PH240152141203,Hypak for Antico,,,
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Sterile Solution,10.5 ml,PH230200041732,ChloraPrep,,,
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether- Straight,PH240153141002,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (US),Hollister,PH240153141033,Purewick catheter,,,
INT,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,PH230200041701,Safety LOK (Safety Wingset),,,
INT,UCC,Total Home Care Sales,Urology Home Care,Home Care Non Bard,UK DAC Sales (Non Bard),PH240153141054,Hypak for Antico,,,
INT,UCC,Total Acute Urology,Urological Drainage,Statlock - Foley,Statlock - Foley,PH240152141218,Hypak for Antico,,,
INT,UCC,Total Acute Urology,Urological Drainage,Bardia Strips,Catheters,PH240153141007,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (US),Coloplast,PH240153141032,Purewick catheter,,,
INT,UCC,Total Home Care Sales,LMS Non Urology,Liberator - Ostomy,Liberator - Ostomy,PH240153141000,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Other Urology,Catheter Plugs/Misc,PH240152141195,Plastipak,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Leg Bags,Leg Bags,PH240153141019,Purewick catheter,,,
INT,UCC,Total Home Care Sales,LMS Urology,Liberator - Other Basic Drainage,Cathether- Coude,PH240153141002,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Hydrophilic,Magic3 Sil Hydro,PH240153141044,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Red Rubber,Bard Red Rubber 2,PH240153141038,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Touchless Catheter,Touchless Plus Catheter,PH240153141051,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Foley Care,Pericare,PH240152141199,Plastipak,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Ultraflex,PH240153141028,Purewick catheter,,,
INT,UCC,Total Home Care Sales,PureWick Home Care,Female External Catheters Liberator,Purewick Liberator cathether,PH240153141004,Purewick catheter,,,
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Surgical,10.5 ml,PH230200041697,ChloraPrep,,,
INT,SUR,Infection Prevention - Surgical,ChloraPrep,ChloraPrep Surgical,26 ml,PH230200041698,ChloraPrep,,,
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,Bag Antireflux Chamber,PH240152141078,Purewick canister & tubing,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (OUS),Bbraun,PH240153141030,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Urethral Trays,Surestep Intermittent TRA,PH240152141251,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Spirit Style 1,PH240153141025,Purewick catheter,,,
INT,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics,PH240112141014,Hypak for Antico,,,
INT,UCC,Total Acute Urology,Urological Drainage,IC Latex Trays,I/C Foley Tray with Statlock,PH240152141097,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2,PH240153141041,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Wideband,PH240153141029,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,LHB,PH240153141021,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Silicone Hydrophilic Coude,Magic3 Coude,PH240153141047,Purewick catheter,,,
INT,UCC,Total Home Care Sales,PureWick Home Care,PWF DTC,PWF DT Cathether,PH240153141070,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (OUS),Porges,PH240153141031,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Red Rubber,Bardia Red Rubber Coude,PH240153141040,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Uncoated Urethral Catheters,BD Uncoated,PH240153141059,Purewick catheter,,,
INT,UCC,Total Acute Urology,PureWick Acute Care,PureWick Disposable Male,Purewick Disposable Male,PH240152141268,Purewick catheter,,,
INT,PI,Oncology,CHRONIC DRAINAGE,PleurX,PLEURX BOTTLES,PH230400041889,Hypak for Antico,,,
INT,UCC,Total Acute Urology,Urological Drainage,Surestep MEC,Surestep MEC,PH240152141242,Purewick catheter,,,
INT,PI,Oncology,Biopsy Needles and Accessories,Core Needle Biopsy,Maxcore Needles,PH240111041049,Safety LOK (Safety Wingset),,,
INT,UCC,Total Home Care Sales,Urology Home Care,Male External - Branded,Spirit Style 3,PH240153141027,Purewick catheter,,,
INT,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters,PH240154141038,Purewick canister & tubing,,,
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Strips,Lubri-Sil Catheters,PH240152141162,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,Lubrisil Trays,Sil Bag Trays,PH240152141164,Purewick catheter,,,
INT,UCC,Total Home Care Sales,Urology Home Care,Magic 3 Go,Magic 3 Go,PH240153141020,Purewick catheter,,,
INT,UCC,Total Acute Urology,Urological Drainage,Non-IC Specialty Foleys,2-Way Coude,PH240152141173,PowerPort,,,
INT,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,100cc EVAC,PH240154141007,Safety LOK (Safety Wingset),,,
INT,UCC,Total Acute Urology,Urological Drainage,Silicone Strips,All Silicone,PH240152141206,PowerPort,,,
INT,UCC,Total Acute Urology,Urological Drainage,Drain Bags,Economy Drainage Products,PH240152141082,Purewick canister & tubing,,,
