,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 11 (USE)
0,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041428,Posiflush - Colubmus - US,PH210210051655,10ml,306546,SYRINGE 10ML REG PR SALINE 10ML FILL,306546-SYRINGE 10ML REG PR SALINE 10ML FILL,MDS-306546,"$262,903,115 ","1,039,603,178",,Plastipak
1,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421900,Other Specimen Acquisition,PH210900434000,Single Use Holders,PH210900441224,ONE-USE NON-STACK,PH210900451238,ONE-USE NON-STACK,364815,HOLDER ONE USE NONSTACKABLE,364815-HOLDER ONE USE NONSTACKABLE,SM-364815,"$27,431,888 ","963,649,112",,Plastipak
2,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,367861,TUBE EDTA PLH 13X75 4.0 PLBL LAV,367861-TUBE EDTA PLH 13X75 4.0 PLBL LAV,SM-367861,"$44,633,234 ","606,618,608",,Vacutainer tubes
3,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041049,Syringe Only,PH210230051096,3ml,309657,SYRINGE 3ML LL 200 S/C,309657-SYRINGE 3ML LL 200 S/C,MDS-309657,"$33,586,017 ","534,864,599",,Plastipak
4,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102300,Hypodermic Products,PH210230021000,Conventional Hypodermic Products,PH210230031004,3pc Conventional Small - SYRINGE ONLY,PH210230041037,10cc Syringes Only - Hypodermic,PH210230051064,10CC SYR LL ONLY,302995,SYRINGE 10ML LL S/C 200,302995-SYRINGE 10ML LL S/C 200,MDS-302995,"$51,194,258 ","508,046,346",,Plastipak
5,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141105,SST PLASTIC HEMO,PH210900151106,SST PLASTIC HEMO,367986,Tube SST PLH 13X100mm 5.0ml PLBL Gold,367986-Tube SST PLH 13X100mm 5.0ml PLBL Gold,SM-367986,"$64,596,695 ","445,320,658",,Vacutainer tubes
6,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121150,Tubes - Chemistry,PH210900132250,PT SST,PH210900141103,SST II PLASTIC HEMO,PH210900151104,SST II PLASTIC HEMO,367955,TUBE SST II PLH 13X100 5.0 PLBL CE GLD,367955-TUBE SST II PLH 13X100 5.0 PLBL CE GLD,SM-367955,"$36,695,890 ","386,920,988",,Vacutainer tubes
7,BLS,SM,Specimen Management,SM,Specimen Management,2109001,Lab Specimen Management,PH210900121350,Tubes - Hematology,PH210900131900,PT EDTA,PH210900141075,EDTA PLASTIC HEMO,PH210900151075,EDTA PLASTIC HEMO,367856,TUBE EDTA PLH 13X75 3.0 PLBL LAV,367856-TUBE EDTA PLH 13X75 3.0 PLBL LAV,SM-367856,"$25,056,052 ","352,187,641",,Vacutainer tubes
8,BDM,MDS,Medication Delivery Solutions (MDS),INJ,Medication Delivery & Vascular Care,2102100,Flush & Caps,PH210210021019,Prefilled Flush Devices -Conventional,PH210210031111,Saline Flush Devices SP,PH210210041429,Posiflush SP - Columbus - CE,PH210210051658,CE SALINE,306575,SYRINGE 10ML SALINE FILL CE,306575-SYRINGE 10ML SALINE FILL CE,MDS-306575,"$82,714,529 ","324,239,656",,Plastipak
9,BLS,SM,Specimen Management,SM,Specimen Management,2109004,Specimen Acquisition,PH210900421850,Needles,PH210900434500,Safety Needle Eclipse,PH210900441251,Eclipse Needles,PH210900451266,ECLIPSE NEEDLES,368607,NEEDLE ECLIPSE 21X1.25,368607-NEEDLE ECLIPSE 21X1.25,SM-368607,"$50,457,390 ","298,777,396",,Safety Wingset
