,SEG,BU,Platform,Product Category,Product Line,Product Set
338,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC
349,BDM,PS,Prefillable Systems,Stopper,Stopper Low Tier,TSCF/TCF
396,BDM,MDS,Flush & Caps,Prefilled Flush Devices -Conventional,Saline Flush Devices SP,PosiFlush â Yixing
442,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,2-Piece Conventional - COMBOS,2ml Syringe with Ndl
548,BDM,MDS,Flush & Caps,Prefilled Flush Devices -Conventional,Saline Flush Devices SP,PosiFlush â Yixing
595,BLS,DS,Molecular Diagnostics,Molecular Diagnostics - PC Adjustment,Molecular Diagnostics - PC Adjustment,Molecular Diagnostics - PC Adjustment
660,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle
678,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
749,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle
808,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC
823,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
906,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
909,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Plunger Rod
926,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,2-Piece Conventional - COMBOS,2ml Syringe with Ndl
931,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
1071,BLS,SM,Specimen Acquisition,Needles,Conventional Needles,NEEDLES CONVENTIONAL
1075,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
1146,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
1225,BDM,PS,PS Safety,Component,Ultrasafe,Passive Plunger Rod
1295,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,3pc Conventional Large - SYRINGE ONLY,Cust Spec Syr Only
1321,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF Visio
1335,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1364,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Components,KippMed
1384,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
1389,BDM,PS,PS Safety,Component,Ultrasafe,Passive Plunger Rod Color
1414,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
1417,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
1466,BDM,PS,Prefillable Systems,Stopper,Stopper Mid Tier,TSCF/TCF
1495,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Plunger Rod
1542,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,100cc EVAC
1547,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer EZGTC
1558,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1576,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
1584,BDM,PS,Prefillable Systems,Stopper,Stopper Mid Tier,TSCF/TCF
1615,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1619,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Backstop
1644,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Components,KippMed
1648,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1729,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
1730,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC
1731,BDM,MDS,Skin Prep & Securement,Skin Prep,ChloraPrep Single Swabstick,Single Swabstick 1.75 ml
1738,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer
1740,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
1753,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
1767,BDM,MDS,Flush & Caps,Prefilled Flush Devices -Conventional,Saline Flush Devices SP,PosiFlush â Yixing
1778,BDM,PS,SAIS,Device,Pen Vystra,Cap
1809,BDM,PS,SAIS,Device,Autoinjector Physioject,TSA
1832,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
1835,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1873,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
1874,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS
1875,BDM,PS,Prefillable Systems,Glass Container,Hypak for Antico,SCF Needle RNS
1983,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1984,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
1999,BDM,PS,Prefillable Systems,Plastic Container,Sterifill Advance,SCF Luer
2010,BDM,PS,Prefillable Systems,Stopper,Stopper Mid Tier,TSCF/TCF
2022,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer EZGTC
2072,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
2073,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
2119,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
2123,BDM,PS,PS Safety,Component,Ultrasafe,Passive Plunger Rod Color
2124,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Plunger Rod
2150,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2169,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Standalone
2177,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
2195,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bard Cath Kits
2197,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF Visio
2224,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2228,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
2277,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
2278,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2286,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF PremiumCoat
2289,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2302,BDM,MDS,Hypodermic Products,Resuse Prevention Hypodermic Products,Emerald PRO-Combos,Low Cost RUP Syringe
2311,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
2326,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
2340,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bard Cath Kits
2341,BLS,SM,Lab Specimen Management,Lab Specimen Management - PC Adjustment,Lab Specimen Management - PC Adjustment,Lab Specimen Management - PC Adjustment
2352,BDI,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External
2356,BDM,PS,PS Safety,Device,Ultrasafe,Manual device Color
2363,BDM,MDS,IV Access,IVA SmartSite,IVA Extension Sets - SmartSite,SmartSite
2365,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2405,BDM,PS,Prefillable Systems,Glass Container,Hypak legacy - Biotech,SCF Needle RNS
2408,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle
2430,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,Conventional Needles,Small Bore Needles
2434,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
2435,BDM,MDS,IV Access,IVA SmartSite,IVA Extension Sets - SmartSite,SmartSite
2443,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2468,BDM,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF Visio
2519,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
2566,BDM,PS,Prefillable Systems,Stopper,Stopper Mid Tier,TSCF/TCF Visio
2569,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
2580,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes 2
2590,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Value-Driven,Venflon Pro with Instaflash,Venflon Pro with Instaflash
2605,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Standalone
2614,BDM,PS,Prefillable Systems,Glass Container,Hylok,SCF Luer
2634,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Specialty Access,EXT Kit/Set,EXT Basic
2649,BDI,UCC,Total BD UCC Other,Wound Drainage,Closed Wound Suction,CWS 400 Kits
2687,BDM,MDS,IV Access,IVA MaxPlus,IVA Extension Sets - MaxPlus,MaxPlus Clear
2713,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
2747,BDM,PS,Prefillable Systems,Component,PFS Component,Bulk Plunger Rod
2753,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod White
2754,BDM,MDS,Advanced Access Devices,PICC Other,PICC Accessories,Micro-EZ
2759,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
2761,BDM,PS,Prefillable Systems,Others,Other Pharma,Other
2772,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
2773,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer PRTC
2792,BDI,UCC,Total Acute Urology,Urological Drainage,Urethral Cath - Hospital Sales,Bard Cath Kits
2802,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS XSi
2858,BLS,DS,Microbiology,Other Core Micro,Transport,UVT
2862,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
2900,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes
2927,BDM,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Advanced Non-ARD,General
2933,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Standalone
2969,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
2993,BDI,UCC,Total Home Care Sales,Urology Home Care,Male External - OEM (US),Hollister
3071,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
3098,BDM,PS,Prefillable Systems,Stopper,Stopper Low Tier,Bulk Stopper
3102,BLS,DS,Microbiology,ID/AST,Phoenix Reagents,Phoenix AST Panel
3121,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
3136,BDM,MDS,Gravity and Syringe Delivery,GSD Extension Sets,GSD Extension Sets - Basic,General
3179,BDM,PS,Prefillable Systems,Glass Container,Hypak for Acute,SCF Luer EZGTC
3188,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes
3191,BDI,PI,End Stage Kidney Disease,Fabrics and Meshes,Fabrics,Fabrics
3200,BDM,MDS,Hypodermic Products,Conventional Hypodermic Products,Conventional Needles,Customer Special Ndl
3216,BDM,MDS,Skin Prep & Securement,Securement,Statlock - CVC,Statlock CV Stand Alone
3220,BDI,UCC,Total BD UCC Other,Airway,NG Tubes,NG Tubes with Filters
3235,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
3241,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
3245,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
3257,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
3258,BDM,MDS,IV Access,IVA MaxZero,IVA Extension Sets - MaxZero,MaxZero
3259,BDM,PS,PS Safety,Component,Ultrasafe,Plus Passive Plunger Rod
3292,BDI,UCC,Total Home Care Sales,PureWick Home Care,PureWick Disposables Home Care,PureWick Female External
3304,BDI,UCC,Total BD UCC Other,Wound Drainage,Channel Drains,Channel Drains
3308,BDM,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Advanced Non-ARD,General
3344,BDI,UCC,Total Home Care Sales,Urology Home Care,Red Rubber Coude,Bard Red Rubber Coude 2
3359,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
3372,BDM,MDS,Hazardous Drug Solutions,Texium Systems,Vial Access Device,Vial Access Device
3378,BDM,PS,SAIS,Device,Pen Vystra,Body Subassembly
3390,BDM,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Basic,General
3397,BDM,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Value-Driven,Intima II Catheters,INTIMA II
3408,BDM,PS,Prefillable Systems,Glass Container,Neopak,SCF Needle RNS
3409,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Others,Villamarzana
3442,BDM,MDS,IPD OEM,IVA OEM,IVA OEM Components,KippMed
3462,BDM,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Standalone
