,precision,recall,f1-score,support
bactec fx machine,0.71875,1.0,0.8363636363636363,23.0
bactec vials,0.9997999199679872,0.9986011191047163,0.9992001599680064,5004.0
chloraprep,0.9908256880733946,0.9642857142857143,0.9773755656108597,112.0
hypak for antico,1.0,1.0,1.0,35.0
hypak for vaccine,1.0,1.0,1.0,33.0
neopak,0.9,1.0,0.9473684210526315,9.0
plastipak,0.972972972972973,0.8925619834710744,0.9310344827586207,242.0
powerport,0.9873417721518988,0.9582309582309583,0.972568578553616,814.0
purewick canister & tubing,0.9796672828096118,0.9925093632958801,0.986046511627907,534.0
purewick catheter,0.943289224952741,0.9960079840319361,0.9689320388349515,1002.0
purewick device,0.9416666666666667,0.8692307692307693,0.904,130.0
pyxis,0.927710843373494,0.8369565217391305,0.88,184.0
rowa,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
safety wingset,0.9859154929577465,0.9933774834437086,0.9896324222431668,1057.0
vacutainer tubes,1.0,0.9935483870967742,0.9967637540453075,620.0
veritor assays,0.9702970297029703,0.9245283018867925,0.9468599033816425,106.0
veritor device,0.7818181818181819,0.9347826086956522,0.8514851485148515,46.0
accuracy,0.9850985098509851,0.9850985098509851,0.9850985098509851,0.9850985098509851
macro avg,0.9458365730655489,0.9608110506576336,0.9509880758601095,9999.0
weighted avg,0.9856105190933084,0.9850985098509851,0.9850621777733338,9999.0
