,precision,recall,f1-score,support
bactec fx machine,0.8387096774193549,1.0,0.9122807017543859,26.0
bactec vials,0.9994022713687986,0.999203187250996,0.999302719394362,5020.0
chloraprep,0.991304347826087,0.9661016949152542,0.9785407725321889,118.0
hypak for antico,1.0,1.0,1.0,36.0
hypak for vaccine,1.0,1.0,1.0,33.0
neopak,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
plastipak,0.9813953488372092,0.9461883408071748,0.9634703196347032,223.0
powerport,0.9879081015719468,0.9749403341288783,0.9813813813813814,838.0
purewick canister & tubing,0.9919028340080972,0.9939148073022313,0.9929078014184397,493.0
purewick catheter,0.9576923076923077,0.9940119760479041,0.9755142017629774,1002.0
purewick device,0.9753424657534246,0.956989247311828,0.966078697421981,372.0
pyxis,0.9567567567567568,0.8939393939393939,0.9242819843342036,198.0
rowa,1.0,1.0,1.0,15.0
safety wingset,0.9876819708846585,0.9865771812080537,0.987129266927812,894.0
vacutainer tubes,0.9981684981684982,0.9963436928702011,0.9972552607502287,547.0
veritor assays,0.9340659340659341,0.9340659340659341,0.9340659340659341,91.0
veritor device,0.8658536585365854,0.8987341772151899,0.8819875776397516,79.0
accuracy,0.9881976395279056,0.9881976395279056,0.9881976395279056,0.9881976395279056
macro avg,0.9632514754106216,0.9594259256643418,0.9604429383736284,9998.0
weighted avg,0.988356212714459,0.9881976395279056,0.9881775023480598,9998.0
