,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
13827,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435800,BACTEC FX 40 Instr - Sale,PH211100441245,BACTECFX40 Inst Sale,PH211100451425,BACTECFX40 Inst Sale,442296,Instrument Bactec FX40 Packaged,442296-Instrument Bactec FX40 Packaged,DS-442296,"$4,497,601 ",485,Matched by Material ID,bactec fx machine
14042,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435700,BACTEC FX Instr - Plcmt,PH211100441243,BACTEC FX Inst Place,PH211100451421,BACTEC FX Inst Place,285019,Bactec FX Instrument Placements,285019-Bactec FX Instrument Placements,DS-285019, $-   ,459,Matched by Material ID,bactec fx machine
14726,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435600,BACTEC FX Instr - Sale,PH211100441238,BACTEC FX Top Inst Sales,PH211100451412,BACTEC FX Top Inst Sale,441385,Instrument Top Bactec Fx Packaged,441385-Instrument Top Bactec Fx Packaged,DS-441385,"$13,645,823 ",375,Matched by Material ID,bactec fx machine
16760,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100436150,Phoenix 50 Instr - Sale,PH211100441281,Phoenix 50 Sales,PH211100451506,Phoenix 50 Sales,443624,Phoenix M50 Instrument,443624-Phoenix M50 Instrument,DS-443624,"$5,282,496 ",218,Matched by Material ID,bactec fx machine
17271,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421450,TB,PH211100434950,BACTEC MGIT 960 Instr - Sale,PH211100441197,BACTEC MGIT 960 -Sales,PH211100451340,BACTEC MGIT 960 -Sal,445870,BACTEC MGIT 960 INSTRUMENT,445870-BACTEC MGIT 960 INSTRUMENT,DS-445870,"$10,031,438 ",192,Matched by Material ID,bactec fx machine
17955,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435600,BACTEC FX Instr - Sale,PH211100441371,BACTEC FX Bottom Inst Sales,PH211100451665,BACTEC FX Bottom Inst Sale,441386,Instrument Bottom Bactec Fx Packaged,441386-Instrument Bottom Bactec Fx Packaged,DS-441386,"$4,914,707 ",163,Matched by Material ID,bactec fx machine
18024,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421500,Blood Culture,PH211100435750,BACTEC FX 40 Instr - Plcmt,PH211100441244,BACTECFX40 Inst Plmt,PH211100451423,BACTECFX40 Inst Plmt,285020,Bactec FX 40 Instrument Placements,285020-Bactec FX 40 Instrument Placements,DS-285020,"$6,402 ",161,Matched by Material ID,bactec fx machine
19600,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421550,ID/AST,PH211100436400,Phoenix 50 Instr - Plcmt,PH211100441286,Phoenix 50 Placements,PH211100451516,Phoenix 50 Placements,285056,Phoenix M50 Instrument Placement,285056-Phoenix M50 Instrument Placement,DS-285056,"$705,351 ",110,Matched by Material ID,bactec fx machine
21106,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421450,TB,PH211100435300,BACTEC MGIT 320 Instr - Sale,PH211100441217,BACTEC MGIT 320 - Sale,PH211100451371,BACTEC MGIT320 -Sale,441743,INSTRUMENT BACTEC MGIT 320,441743-INSTRUMENT BACTEC MGIT 320,DS-441743,"$2,118,374 ",81,Matched by Material ID,bactec fx machine
23997,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111004,Microbiology,PH211100421450,TB,PH211100435200,BACTEC MGIT 960 Instr - Plcmt,PH211100441215,BACTEC MGIT 960 -Place,PH211100451368,BACTEC MGIT 960 -Pla,285008,MGIT 960 Instrument Placements,285008-MGIT 960 Instrument Placements,DS-285008,"$617,372 ",48,Matched by Material ID,bactec fx machine
