,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
2114,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021100,Plastic Container,PH210310031950,Sterifill Advance,PH210310041040,SCF Luer,PH210310051084,5ml,47594001,STERIFILL ADVANCE 5ML,47594001-STERIFILL ADVANCE 5ML,PS-47594001,"$2,047,195 ","729,600",Classified by ML model,pyxis
2612,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310033000,Stopper High Tier,PH210310041151,TSCF/TCF Visio,PH210310051376,1-3ml,47627110,STOPPER TSCF1-3ML 4023 FLUR VISIO,47627110-STOPPER TSCF1-3ML 4023 FLUR VISIO,PS-47627110,"$126,244 ","405,000",Classified by ML model,pyxis
3802,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031016,Encor Probes,PH240111041060,Encor Disposable Accessories,PH240111051075,Encor Disposable Accessories,DS4001,ENCOR ENSPIRE VACUUM & RINSE,DS4001-ENCOR ENSPIRE VACUUM & RINSE,PI-DS4001,"$2,993,233 ","120,166",Classified by ML model,pyxis
4330,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121011,POC Systems,PH230600131060,Alaris System LVP Pump License,PH230600141162,Guardrails,PH230600151256,8100 Alaris Infusion System LVP,GUARDRAILS-LVP1,GUARDRAILS LVP LICENSE FEE,GUARDRAILS-LVP1-GUARDRAILS LVP LICENSE FEE,MMS-GUARDRAILS-LVP1,"$9,802,915 ","74,453",Classified by ML model,pyxis
5046,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121011,POC Systems,PH230600131062,Alaris System PC Unit License,PH230600141168,Guardrails,PH230600151265,PCU 8015,GUARDRAILS-MX-8015,GUARDRAILS SUITE MX - 8015,GUARDRAILS-MX-8015-GUARDRAILS SUITE MX - 8015,MMS-GUARDRAILS-MX-8015,"$19,740,161 ","40,822",Matched by Material ID,pyxis
6147,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401110,Oncology,PH240111021005,Vacuum Assisted,PH240111031016,Encor Probes,PH240111041060,Encor Disposable Accessories,PH240111051075,Encor Disposable Accessories,DS4002,ENCOR ENSPIRE VAC TUBING CASS,DS4002-ENCOR ENSPIRE VAC TUBING CASS,PI-DS4002,"$281,697 ","18,353",Classified by ML model,pyxis
6548,BLS,SM,Specimen Management,SM,Specimen Management,2109003,Specimen Management Other,PH210900321400,Specimen Management Other,PH210900333300,Specimen Management Other,PH210900341162,All Other PAS,PH210900351175,All Other PAS,400005070,HANDLING CHARGE VACUTAINER,400005070-HANDLING CHARGE VACUTAINER,SM-400005070,"$426,926 ","14,017",Classified by ML model,pyxis
6950,BDM,MMS,Medication Management Solutions (MMS),MMS,Infusion Systems,2306001,Alaris System,PH230600121011,POC Systems,PH230600131067,Alaris System Syringe License,PH230600141175,Guardrails,PH230600151276,Syringe,GUARDRAILS-SYR1,GUARDRAILS SYR LICENSE FEE,GUARDRAILS-SYR1-GUARDRAILS SYR LICENSE FEE,MMS-GUARDRAILS-SYR1,"$1,841,069 ","10,825",Classified by ML model,pyxis
8037,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111006,Informatics,PH211100621000,Informatics,PH211100436600,Epicenter,PH211100441290,Epicenter Hardware,PH211100451521,Epicenter Hardware,441503,Labels Medium Barcode Option Epicenter,441503-Labels Medium Barcode Option Epicenter,DS-441503,"$58,445 ","5,656",Classified by ML model,pyxis
8403,BDM,PS,Pharmaceutical Systems,PS,Pharmaceutical Systems,2103100,Prefillable Systems,PH210310021250,Stopper,PH210310033000,Stopper High Tier,PH210310041125,BSCF/BCF/BCA PremiumCoat visio,PH210310051313,1-3ml,47619010,STOPPER BSCF PREMIUMCOAT 1-3ML EV VISIO,47619010-STOPPER BSCF PREMIUMCOAT 1-3ML EV VISIO,PS-47619010,"$5,060 ","4,600",Classified by ML model,pyxis
