,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset ,Material ID,Material Description,Material ID Description,BU + Material, FY 25 Actual Revenue , FY 25 Actual Units , COMMENTS ,CAT 12
1726,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2118000,Cancer,PH211800021000,Cytology,PH211800031550,FocalPoint Instr - FPU,PH211800041037,FocalPoint FPU,PH211800051064,FocalPoint FPU,491069,Fee Per Use Focal Point,491069-Fee Per Use Focal Point,DS-491069,"$949,904 ","1,237,074",Classified by ML model,rowa
21739,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023200,FACSCanto,PH220020035850,FACSCanto Instrument,PH220020041120,FACSCanto Instrument,PH220020051321,FACSCanto II Instrument,338962,BD FACSCanto II Cytometer 4/2/2 Sys IVD,338962-BD FACSCanto II Cytometer 4/2/2 Sys IVD,BDB-338962,"$5,091,082 ",72,Matched by Material ID,rowa
27455,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031950,ReadA - Sale,PH211146041034,ReadA SA - Sale,PH211146051060,ReadA SA - Sale,446948,BD Kiestra ReadA,446948-BD Kiestra ReadA,DS-446948,"$5,900,437 ",28,Matched by Material ID,rowa
27638,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111001,Molecular Diagnostics,PH211100121100,ProbeTec/Viper,PH211100132400,ProbeTec Viper Instr - Plcmt,PH211100141080,Viper LT Inst - Placements,PH211100151141,Viper LT Inst - Placements,285018,Viper LT Instrument Placements,285018-Viper LT Instrument Placements,DS-285018, $-   ,28,Matched by Material ID,rowa
27888,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146032400,TMT - TLA - Sale,PH211146041019,TMT - TLA - Sale,PH211146051050,TMT - TLA - Sale,446096,BD Kiestra Regular Base for TMT,446096-BD Kiestra Regular Base for TMT,DS-446096,"$18,740,157 ",26,Matched by Material ID,rowa
29312,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146032100,InoqulA Talon Instr - Sale,PH211146041038,InoqulA Talon Instr - Sale,PH211146051067,InoqulA Talon Instr - Sale,446973,BD Kiestra InoqulA Standalone,446973-BD Kiestra InoqulA Standalone,DS-446973,"$8,534,750 ",21,Matched by Material ID,rowa
31658,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146032400,TMT - TLA - Sale,PH211146041019,TMT - TLA - Sale,PH211146051050,TMT - TLA - Sale,446097,BD Kiestra Main Base for TMT,446097-BD Kiestra Main Base for TMT,DS-446097,"$4,902,296 ",15,Matched by Material ID,rowa
31661,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111001,Molecular Diagnostics,PH211100121100,ProbeTec/Viper,PH211100132100,ProbeTec Viper Instr - Sale,PH211100141057,Viper LT Inst - Sales,PH211100151099,Viper LT Inst - Sales,442839,Instrument Bd Viper LT System,442839-Instrument Bd Viper LT System,DS-442839,"$1,389,538 ",15,Matched by Material ID,rowa
33134,BLS,BDB,Biosciences,BDB,Biosciences,2200200,Clinical Instruments,PH220020023200,FACSCanto,PH220020035950,FACSCanto Options,PH220020041122,FACSCanto HTS,PH220020051325,FACSCanto HTS,640009,BD FACSCanto II HTS,640009-BD FACSCanto II HTS,BDB-640009,"$81,614 ",12,Matched by Material ID,rowa
33774,BLS,DS,Diagnostic Solutions,DS,Diagnostic Solutions,2111460,Lab Automation,PH211146021100,Lab Automation,PH211146031650,IdentifA - Sale,PH211146041027,IdentifA SA - Sale,PH211146051052,IdentifA SA - Sale,444063,BD Kiestra IdentifA,444063-BD Kiestra IdentifA,DS-444063,"$2,443,448 ",11,Matched by Material ID,rowa
