,SEG,BU,Business Unit,Sub BU,Sub Business Unit,Platform ID,Platform,Product Category ID,Product Category,Product Line ID,Product Line,Product Set ID,Product Set,Product Subset ID,Product Subset,Material ID,Material Description,Material ID Description,BU + Material, Actual Revenue ,Actual Units,CAT 11 (USE),CAT 12 (EoL), COMMENTS 
20,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521000,Peripheral Intervention Freight & Rebates,PH240110531002,Peripheral Intervention - US Rebates,PH240110541003,Rebates,PH240110551003,Rebates,DMY_DS_50090-BPV,PERIPHERAL INTERVENTION REBATES,DMY_DS_50090-BPV-PERIPHERAL INTERVENTION REBATES,PI-DMY_DS_50090-BPV," $(1,358,063)", -   ,,,
169,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521002,OEM,PH240110531020,Textiles OEM,PH240110541066,Textiles OEM,PH240110551066,Textiles OEM,G04057OEM,OEM6111SAUVFILPAT,G04057OEM-OEM6111SAUVFILPAT,PI-G04057OEM," $9,691 ", 70 ,,,
173,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521002,OEM,PH240110531020,Textiles OEM,PH240110541066,Textiles OEM,PH240110551066,Textiles OEM,G04316OEM,STYLE 6113 ALT POLY 16MM,G04316OEM-STYLE 6113 ALT POLY 16MM,PI-G04316OEM," $4,284 ", 60 ,,,
174,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521002,OEM,PH240110531020,Textiles OEM,PH240110541066,Textiles OEM,PH240110551066,Textiles OEM,G04318,STYLE 6113 ALT POLY 18MM,G04318-STYLE 6113 ALT POLY 18MM,PI-G04318," $7,301 ", 90 ,,,
175,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521002,OEM,PH240110531020,Textiles OEM,PH240110541066,Textiles OEM,PH240110551066,Textiles OEM,G04318OEM,STYLE 6113 ALT POLY 18MM,G04318OEM-STYLE 6113 ALT POLY 18MM,PI-G04318OEM," $9,865 ", 140 ,,,
176,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521002,OEM,PH240110531020,Textiles OEM,PH240110541066,Textiles OEM,PH240110551066,Textiles OEM,G04320,STYLE 6113 ALT POLY 20MM,G04320-STYLE 6113 ALT POLY 20MM,PI-G04320," $19,874 ", 245 ,,,
177,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521002,OEM,PH240110531020,Textiles OEM,PH240110541066,Textiles OEM,PH240110551066,Textiles OEM,G04320OEM,STYLE 6113 ALT POLY 20MM,G04320OEM-STYLE 6113 ALT POLY 20MM,PI-G04320OEM," $47,144 ", 655 ,,,
178,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521002,OEM,PH240110531020,Textiles OEM,PH240110541066,Textiles OEM,PH240110551066,Textiles OEM,G04322,STYLE 6113 ALT POLY 22MM,G04322-STYLE 6113 ALT POLY 22MM,PI-G04322," $11,624 ", 140 ,,,
179,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521002,OEM,PH240110531020,Textiles OEM,PH240110541066,Textiles OEM,PH240110551066,Textiles OEM,G04322OEM,STYLE 6113 ALT POLY 22MM,G04322OEM-STYLE 6113 ALT POLY 22MM,PI-G04322OEM," $48,088 ", 660 ,,,
180,BDI,PI,Peripheral Intervention,PI,Peripheral Intervention,2401105,BD PI Other,PH240110521002,OEM,PH240110531020,Textiles OEM,PH240110541066,Textiles OEM,PH240110551066,Textiles OEM,G04324,STYLE 6113 ALT POLY 24MM,G04324-STYLE 6113 ALT POLY 24MM,PI-G04324," $23,525 ", 290 ,,,
