,SEG,BU,Platform,Product Category,Product Line,Product Set,CAT 11,preds,probs
19,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
54,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
60,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
65,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
104,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
133,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
147,BDM,MDS,Hypodermic Products,Safety Hypodermic Products,Blunt Fill Needle / Combo,SYR W BFN LARGE BORE,Plastipak,safety wingset,0.8
155,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
163,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
192,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
195,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
201,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
261,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
287,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
341,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
348,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
351,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
353,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
355,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
363,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.4
391,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Needle,Hypak for Vaccine,hypak for antico,0.43
410,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
428,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer,Hypak for Vaccine,hypak for antico,0.54
443,BDM,PS,Prefillable Systems,Glass Container,Hypak for Vaccine,SCF Luer PRTC,Hypak for Vaccine,hypak for antico,0.54
452,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle,Hypak for Vaccine,hypak for antico,0.48
473,BDM,PS,Prefillable Systems,Component,Accuspray,Dose Divider,Plastipak,vacutainer tubes,0.42
478,BDI,SUR,Infection Prevention - Surgical,Hair Removal,Clippers,Clipper Blades,Powerport,veritor device,0.59
483,BDM,PS,Prefillable Systems,Glass Container,Hypak for Biotech,SCF Needle RNS,Hypak for Vaccine,hypak for antico,0.42
508,BDM,MDS,Hypodermic Products,Safety Hypodermic Products,Blunt Fill Needle / Combo,SYR W BFN LARGE BORE,Plastipak,safety wingset,0.8
